compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
K2Nb2S4,194,2.10237,84.1788,0.227088,22.0584,7.40201,4.46E-05,Non-Metal,459.117
B2W2,63,1.93269,325.072,0.266633,10.5024,32.6847,1.99E-05,Metal,520.019
In14K3Mg20,221,2.21371,28.8469,0.292578,117.199,0.388592,0.000121184,Metal,229.131
C2Co1Tb1,38,1.94888,181.002,0.270084,10.7002,18.4697,3.22E-05,Metal,500.011
Br4Na4O12,198,2.19283,69.7449,0.256318,55.6567,2.39887,7.19E-05,Non-Metal,482.232
La6Pb26Rh8,223,2.36123,60.6969,0.291097,122.829,0.536542,5.94E-05,Metal,189.02
C1Ru3V1,221,2.15478,262.633,0.259011,12.8309,22.9169,2.23E-05,Metal,566.107
Co1Si3Th1,107,2.08144,129.539,0.283076,14.1349,9.16192,3.61E-05,Metal,391.011
Cl4Cs4O16,216,2.20665,50.5014,0.297443,71.0828,1.12733,7.66E-05,Non-Metal,348.189
Ag2Sc1,139,2.39478,63.5411,0.318721,9.21271,2.82917,7.58E-05,Metal,244.065
Na6P2,194,1.99206,20.1487,0.244576,25.0281,1.58704,0.000161067,Non-Metal,325.146
Ge2Ru2Th1,139,2.20383,154.969,0.275787,14.2753,9.86852,2.90E-05,Metal,356.933
H2Hf2Pd1,139,1.91874,136.518,0.400675,14.9718,2.43731,4.49E-05,Metal,227.964
Ge3Mn3Pd3,189,2.26932,91.5266,0.343169,27.0169,1.82693,5.91E-05,Metal,273.979
Co2O8Rh4,227,2.20839,182.387,0.344338,38.5155,3.59214,3.85E-05,Non-Metal,457.908
O8Sn2Zn4,227,2.07626,139.833,0.33539,39.2536,3.18772,4.75E-05,Non-Metal,427.04
Mg3Tl3Y3,189,2.09104,48.7027,0.208803,27.1466,2.96486,6.61E-05,Metal,261.052
Ba2In4Rh2,63,2.31613,51.1562,0.291146,24.5944,1.58386,6.93E-05,Metal,214.08
O8Si4,24,1.98702,162.453,0.238966,24.4696,16.0347,2.58E-05,Non-Metal,884.915
Sb2Y2Zr2,139,1.9641,78.4787,0.292014,17.6794,4.92184,3.88E-05,Metal,274.946
Ag4O2,224,2.48656,45.9651,0.487902,19.566,0.0174529,0.00011511,Non-Metal,56.0669
Ca2Hg2Sn2,186,2.39357,37.2618,0.277943,18.9064,1.29272,9.45E-05,Metal,190.062
Ge2Ni4,194,2.31842,158.934,0.384819,17.6441,2.60314,4.88E-05,Metal,318.941
Ge3Pt6,189,2.56084,179.169,0.407229,27.1791,1.12139,3.73E-05,Metal,203.97
F3Mn1Rb1,221,2.21634,50.8271,0.287437,15.1314,2.75824,0.000104253,Non-Metal,340.909
Pb2S2,194,2.03388,47.3425,0.286051,12.1987,3.06669,6.33E-05,Non-Metal,205.989
Er4Mg8,194,1.70032,40.0431,0.307609,36.2533,1.6879,6.69E-05,Metal,226.077
Au2Ca2Sb2,194,2.256,50.7182,0.305603,18.4604,1.70586,6.88E-05,Metal,201.06
Ca4O12Ru4,62,2.15204,162.183,0.30482,52.5795,4.07978,3.92E-05,Metal,543.934
Cd2O2,186,2.18795,84.5194,0.399725,12.1468,1.66417,6.12E-05,Metal,229.956
P3Ru3Ti3,189,2.07893,204.094,0.295622,23.8328,10.6085,2.58E-05,Metal,514.072
